city,lat,lng,country,iso2,admin_name,Regions,population,population_proper,cases,"(Upper tier) total cumulative confirmed covid cases per 100,000 population","(Lower tier) total cumulative confirmed covid cases per 100,000 population"
Thorpe,51.4069,-0.5354,United Kingdom,GB,Surrey,,5465,5465,,9069.00,
Rhuthun,53.115,-3.312,United Kingdom,GB,Denbighshire,,5461,5461,,8793.30,8866.8
Wyke Regis,50.592,-2.475,United Kingdom,GB,Dorset,,5458,5458,,6074.10,6113.1
Barton on Sea,50.7428,-1.6552,United Kingdom,GB,Hampshire,,5454,5454,,7789.10,
Griffithstown,51.6853,-3.0284,United Kingdom,GB,Torfaen,,5450,5450,,9219.50,9286.9
Shenfield,51.6297,0.3192,United Kingdom,GB,Essex,,5432,5432,,10744.20,
New Alresford,51.0907,-1.1612,United Kingdom,GB,Hampshire,,5431,5431,,7789.10,
Cardenden,56.133,-3.25,United Kingdom,GB,Fife,,5420,5420,,7498.70,7629.7
Ammanford,51.8,-3.993,United Kingdom,GB,Carmarthenshire,,5411,5411,,7994.30,8090.6
Bilton,54.0099,-1.5359,United Kingdom,GB,North Yorkshire,,5409,5409,,8686.00,
Fishguard,51.9982,-4.9804,United Kingdom,GB,Pembrokeshire,,5407,5407,,4957.80,5005.9
Perranzabuloe,50.326,-5.133,United Kingdom,GB,Cornwall,,5406,5406,,,
Illogan,50.25,-5.268,United Kingdom,GB,Cornwall,,5404,5404,,,
Dalry,55.711,-4.723,United Kingdom,GB,North Ayrshire,,5398,5360,,9275.20,9439.1
Brotton,54.568,-0.937,United Kingdom,GB,Redcar and Cleveland,,5394,5394,,13164.20,13234.9
Lindfield,51.0135,-0.0833,United Kingdom,GB,West Sussex,,5394,5394,,8134.30,
Earls Barton,52.263,-0.746,United Kingdom,GB,Northamptonshire,,5387,5387,,9892.00,
Writtle,51.729,0.427,United Kingdom,GB,Essex,,5383,5383,,10744.20,
Malmesbury,51.584,-2.098,United Kingdom,GB,Wiltshire,,5380,5380,,6775.20,6811.4
Kirton,52.9278,-0.0598,United Kingdom,GB,Lincolnshire,,5371,5371,,8837.00,
Freshwater,50.6826,-1.5249,United Kingdom,GB,Isle of Wight,,5369,5369,,7458.40,7516
Hartley,51.3868,0.3037,United Kingdom,GB,Kent,,5359,5359,,10120.00,
Abercarn,51.649,-3.135,United Kingdom,GB,Caerphilly,,5352,5352,,9757.30,9848.6
Bidford-on-Avon,52.1644,-1.8567,United Kingdom,GB,Warwickshire,,5350,5350,,9523.70,
