city,lat,lng,country,iso2,admin_name,Regions,population,population_proper,cases,"(Upper tier) total cumulative confirmed covid cases per 100,000 population","(Lower tier) total cumulative confirmed covid cases per 100,000 population"
London,51.5072,-0.1275,United Kingdom,GB,"London, City of",London,10979000,8825001,"15,240",10967.90,2373.6
Birmingham,52.48,-1.9025,United Kingdom,GB,Birmingham,West Midlands,2897303,1137100,"13,012",13185.40,13230
Manchester,53.4794,-2.2453,United Kingdom,GB,Manchester,North West,2705000,547627,"7,667",15343.30,15384.7
Leeds,53.7997,-1.5492,United Kingdom,GB,Leeds,Yorkshire,1901934,789194,"14,461",13390.40,13451.2
Newcastle,55.0077,-1.6578,United Kingdom,GB,Newcastle upon Tyne,the North East,1650000,879996,"11,635",13712.70,13779.9
Birstall,52.6736,-1.12,United Kingdom,GB,Leicester,East Midlands ,1424216,1424216,"4,794",14857.50,14921.1
Glasgow,55.8609,-4.2514,United Kingdom,GB,Glasgow City,Scotland,985290,633120,"25,049",12648.80,12802.8
Liverpool,53.4,-2.9833,United Kingdom,GB,Liverpool,North West,864122,513441,"29,627",14724.60,14774
Portsmouth,50.8058,-1.0872,United Kingdom,GB,Portsmouth,South East,855679,238800,"42,986",10807.60,10868.1
Northampton,52.2405,0.9027,United Kingdom,GB,Northamptonshire,East Midlands ,"225,140","225,146","33,175",9892.00,
Southampton,50.9,-1.4,United Kingdom,GB,Southampton,South East,855569,269781,"16,694",10119.30,10161.3
Nottingham,52.95,-1.15,United Kingdom,GB,Nottingham,East Midlands ,768638,321500,"20,966",13920.30,13968
Bristol,51.45,-2.5833,United Kingdom,GB,"Bristol, City of",South West,724000,463400,"41,266",12245.60,12270.1
Sheffield,53.3833,-1.4667,United Kingdom,GB,Sheffield,Yorkshire,685368,518090,"30,360",11968.50,12012.3
Kingston upon Hull,53.7444,-0.3325,United Kingdom,GB,"Kingston upon Hull, City of",Yorkshire,573300,260200,"150,383",13309.70,13372.3
Gloucester,51.8642,2.2382,United Kingdom,GB,Gloucestershire,South West,"129,352","129,285","27,448",7111.20,
Leicester,52.6333,-1.1333,United Kingdom,GB,Leicester,East Midlands ,508916,329839,"18,396",14857.50,14921.1
Edinburgh,55.953,-3.189,United Kingdom,GB,"Edinburgh, City of",Scotland,488050,488050,"7,534",9310.00,
Caerdydd,51.4833,-3.1833,United Kingdom,GB,Cardiff,Wales,479000,361469,"41,992",9513.80,9570.4
Newport,51.5833,-3,United Kingdom,GB,Newport,Wales,128060,128060,"43,879",9874.30,9940.7
High Wycombe,51.6287,-0.7482,United Kingdom,GB,Buckinghamshire,South East,125257,120256,"11,762",9111.80,
Stoke-on-Trent,53,-2.1833,United Kingdom,GB,Stoke-on-Trent,West Midlands,372775,249008,"42,822",12182.90,12232.4
Coventry,52.4081,-1.5106,United Kingdom,GB,Coventry,West Midlands,362690,362690,"11,557",10313.70,10367.5
Reading,51.4542,-0.9731,United Kingdom,GB,Reading,South East,337108,230046,"74,358",10882.10,10924.5
Belfast,54.5964,-5.93,United Kingdom,GB,Belfast,Northern Ireland,333871,333871,"39,606",12046.40,12128.1
Derby,52.9167,-1.4667,United Kingdom,GB,Derby,East Midlands ,270500,248700,"16,526",11683.90,11752.9
Plymouth,50.3714,-4.1422,United Kingdom,GB,Plymouth,South West,267918,267918,"28,531",8822.10,8876.2
Wolverhampton,52.5833,-2.1333,United Kingdom,GB,Wolverhampton,West Midlands,254406,250970,"57,048",13310.90,13367.3
Abertawe,51.6167,-3.95,United Kingdom,GB,Swansea,Wales,245508,245508,"35,210",10262.70,10364.5
Milton Keynes,52.04,-0.76,United Kingdom,GB,Milton Keynes,South East,229941,207057,"49,847",11054.30,11095.4
Aberdeen,57.15,-2.11,United Kingdom,GB,Aberdeen City,Scotland,214610,200680,"27,098",6653.30,6757.2
Peterborough,52.5695,0.2405,United Kingdom,GB,Cambridgeshire,East of England ,"204,500","201,041","22,579",7381.60,
Norwich,52.63,1.297,United Kingdom,GB,Norfolk,East of England ,213166,195971,"17,732",7226.30,
Swindon,51.56,-1.78,United Kingdom,GB,Swindon,,192599,192599,"35,125",9049.70,
Basildon,51.5761,0.4886,United Kingdom,GB,Essex,East of England ,185900,185900,"13,905",10744.20,
Ipswich,52.0594,1.1556,United Kingdom,GB,Suffolk,East of England ,180000,180000,"35,988",6266.70,6266.70
Sunderland,54.9061,-1.3811,United Kingdom,GB,Sunderland,the North East,174286,174286,"46,566",13952.30,14015.7
Slough,51.51,-0.59,United Kingdom,GB,Slough,South East,164455,119070,"38,990",13482.00,13520.8
Oxford,51.7519,-1.2578,United Kingdom,GB,Oxfordshire,South East,154600,152000,"39,129",8227.10,
York,53.9583,-1.0803,United Kingdom,GB,York,Yorkshire,153717,153717,"44,646",9867.20,9901.8
Telford,52.6766,-2.4469,United Kingdom,GB,Telford and Wrekin,West Midlands,142723,142723,"23,127",10115.70,10190.2
Brighton,50.8429,-0.1313,United Kingdom,GB,Brighton and Hove,South East,134293,134293,"40,667",9779.70,9809.8
Exeter,50.7167,-3.5333,United Kingdom,GB,Devon,,124180,124180,"11,608",6363.60,
Preston,53.759,-2.699,United Kingdom,GB,Lancashire,North West,122719,122719,"33,389",12990.00,
Bedford,52.135,-0.47,United Kingdom,GB,Bedford,East of England ,106940,92407,"32,013",12002.00,12035.2
Worcester,52.192,-2.22,United Kingdom,GB,Worcestershire,West Midlands,101328,101328,"3,695",8916.50,
Bath,51.38,-2.36,United Kingdom,GB,Bath and North East Somerset,South West,88859,88859,"75,088",8501.90,8527.3
Chester,53.19,-2.89,United Kingdom,GB,Cheshire West and Chester,North West,79645,79645,"3,170",10519.70,10577.8
Guildford,51.2365,-0.5703,United Kingdom,GB,Surrey,South East,77057,77057,"20,657",9069.00,
Carlisle,54.891,-2.944,United Kingdom,GB,Cumbria,North West,75306,75306,"24,782",9575.00,
Shrewsbury,52.708,-2.754,United Kingdom,GB,Shropshire,West Midlands,71715,71715,"57,333",7681.30,7731.1
Keighley,53.867,-1.911,United Kingdom,GB,Bradford,Yorkshire,70000,53331,"17,448",13715.90,13759.3
Stafford,52.8066,-2.1171,United Kingdom,GB,Staffordshire,West Midlands,68472,68472,"21,441",10600.20,
Hereford,52.0565,-2.716,United Kingdom,GB,Herefordshire,West Midlands,55955,55955,"44,657",6237.60,
Weymouth,50.613,-2.457,United Kingdom,GB,Dorset,South West,53068,53068,"70,576",6074.10,6113.1
Durham,54.7761,-1.5733,United Kingdom,GB,Durham,the North East,48069,48069,,12578.10,
Whitstable,51.361,1.026,United Kingdom,GB,Kent,South East,32100,30195,,10120.00,
Ryde,50.7271,-1.1618,United Kingdom,GB,Isle of Wight,South East,32072,32072,,7458.40,7516
Leigh-on-Sea,51.5425,0.6535,United Kingdom,GB,Southend-on-Sea,East of England ,22509,22509,,11326.10,11367.7
Oakham,52.6705,-0.7333,United Kingdom,GB,Rutland,East Midlands ,10922,10922,,7229.00,7293.2
Warrenpoint,54.0991,-6.249,United Kingdom,GB,"Newry, Mourne and Down",Northern Ireland,6981,6981,,11370.70,11438.9
Banbridge,54.343,-6.26,United Kingdom,GB,"Armagh, Banbridge and Craigavon",Northern Ireland,14744,14744,,11451.80,
Derry,54.9917,-7.3417,United Kingdom,GB,Derry and Strabane,Northern Ireland,85016,85016,"34,484",15213.50,
Lisburn,54.5167,-6.0333,United Kingdom,GB,Lisburn and Castlereagh,Northern Ireland,71465,71465,"9,931",9179.10,9276.1
Dundee,56.462,-2.9707,United Kingdom,GB,Dundee City,Scotland,148270,148270,"8,500",11012.00,11144.3
Luton,51.8783,-0.4147,United Kingdom,GB,Luton,,213052,213052,"25,268",13614.10,13670.3
Islington,51.544,-0.1027,United Kingdom,GB,Islington,,206125,206125,"48,512",9689.50,9717.3
Croydon,51.3727,-0.1099,United Kingdom,GB,Croydon,,192064,192064,"15,195",11490.00,11525.5
Bournemouth,50.72,-1.88,United Kingdom,GB,Bournemouth,,183491,183491,"26,888",,
Worthing,50.8147,-0.3714,United Kingdom,GB,West Sussex,,183000,109120,"3,222",8134.30,
Middlesbrough,54.5767,-1.2355,United Kingdom,GB,Redcar and Cleveland,,174700,140545,"36,169",13164.20,13234.9
Ilford,51.5588,0.0855,United Kingdom,GB,Redbridge,,168168,168168,"5,022",13698.30,13730.7
Warrington,53.3917,-2.5972,United Kingdom,GB,Warrington,,165456,165456,"8,106",13299.10,13352.1
Huddersfield,53.645,-1.7798,United Kingdom,GB,Kirklees,,162949,162949,"67,027",12196.30,12249.3
Poole,50.7167,-1.9833,United Kingdom,GB,Poole,,151500,144800,"47,854",,
Harrow,51.5836,-0.3464,United Kingdom,GB,Harrow,,149246,149246,"13,417",11473.90,11515.1
Cambridge,52.2053,0.1218,United Kingdom,GB,cambridgeshire,,"125,897","125,758","30,006",7381.60,
Saint Albans,51.755,-0.336,United Kingdom,GB,Hertfordshire,,147373,82146,"80,429",10114.00,
Blackpool,53.8142,-3.0503,United Kingdom,GB,Blackpool,,139720,139305,"51,591",13293.70,13376.8
Sale,53.424,-2.322,United Kingdom,GB,Trafford,,134022,134022,"23,069",12201.80,12254
Enfield,51.6522,-0.0808,United Kingdom,GB,Enfield,,132640,132640,"39,247",11427.90,11456.4
Tottenham,51.588,-0.072,United Kingdom,GB,Haringey,,129237,129237,"9,226",11112.50,11143.3
Bolton,53.578,-2.429,United Kingdom,GB,Bolton,,128139,128139,"16,388",14568.00,14613.5
Solihull,52.413,-1.778,United Kingdom,GB,Solihull,,123187,123187,"8,513",11884.40,11937.7
Romford,51.5768,0.1801,United Kingdom,GB,Havering,,122854,122854,"10,770",13370.40,13398.8
Gateshead,54.95,-1.6,United Kingdom,GB,Gateshead,,120046,120046,"46,310",12634.80,12696.7
Blackburn,53.748,-2.482,United Kingdom,GB,Blackburn with Darwen,,117963,117963,"38,122",18295.00,18342.3
Cheltenham,51.9,-2.0667,United Kingdom,GB,Gloucestershire,,116447,116447,"160,922",7111.20,
Basingstoke,51.2667,-1.0876,United Kingdom,GB,Hampshire,,113776,107355,"13,440",7789.10,
Maidstone,51.272,0.529,United Kingdom,GB,Kent,,113137,107627,"12,569",10120.00,
Colchester,51.8917,0.903,United Kingdom,GB,Essex,,111921,111921,"28,055",10744.20,
Chelmsford,51.7361,0.4798,United Kingdom,GB,Essex,,111511,111511,"14,448",10744.20,
Wythenshawe,53.392,-2.264,United Kingdom,GB,Manchester,,110000,110000,"25,516",15343.30,15384.7
Doncaster,53.515,-1.133,United Kingdom,GB,Doncaster,,109805,109805,"80,401",13001.60,13061
Rotherham,53.43,-1.357,United Kingdom,GB,Rotherham,,109691,109691,"45,558",12681.10,12746.4
Walthamstow,51.59,0,United Kingdom,GB,Waltham Forest,,109424,109424,"31,608",12295.40,12327.2
Rochdale,53.6136,-2.161,United Kingdom,GB,Rochdale,,107926,107926,"6,447",14839.60,14879.3
Crawley,51.1092,-0.1872,United Kingdom,GB,West Sussex,,106597,106597,"17,375",8134.30,
Mansfield,53.15,-1.2,United Kingdom,GB,Nottinghamshire,,106556,77551,"21,198",11286.40,
Dagenham,51.5397,0.1422,United Kingdom,GB,Barking and Dagenham,,106247,106247,"108,206",13837.50,13866.4
Stockport,53.4083,-2.1494,United Kingdom,GB,Stockport,,105878,105878,"29,599",12162.30,12218
Darlington,54.527,-1.5526,United Kingdom,GB,Darlington,,105564,92363,"28,953",12492.30,12549.1
Fyfield,51.739,0.2722,United Kingdom,GB,Essex,,104234,104234,"14,413",10744.20,
Gillingham,51.385,0.55,United Kingdom,GB,Medway,,104157,104157,"34,850",12353.60,12395.1
Salford,53.483,-2.2931,United Kingdom,GB,Salford,,103886,103886,"12,075",15022.60,15072.1
Eastbourne,50.77,0.28,United Kingdom,GB,East Sussex,,103745,101547,"120,930",8286.60,
Wigan,53.5448,-2.6318,United Kingdom,GB,Wigan,,103608,103608,"10,847",14329.40,14383.8
Hounslow,51.4668,-0.375,United Kingdom,GB,Hounslow,,103337,103337,"37,262",12531.70,12575.5
Wembley,51.5528,-0.2979,United Kingdom,GB,Brent,,102856,90045,"34,057",12084.10,12115.5
Saint Helens,53.4541,-2.7461,United Kingdom,GB,St. Helens,,102629,102629,"7,380",14092.60,14140.1
Wakefield,53.68,-1.49,United Kingdom,GB,Wakefield,,99251,99251,"10,613",12701.40,12758
Lincoln,53.2344,-0.5386,United Kingdom,GB,Lincolnshire,,97541,97541,"24,041",8837.00,
Hemel Hempstead,51.7526,-0.4692,United Kingdom,GB,Hertfordshire,,97500,94932,"14,254",10114.00,
Watford,51.655,-0.3957,United Kingdom,GB,Hertfordshire,,96800,90301,"160,812",10114.00,
Oldham,53.5444,-2.1169,United Kingdom,GB,Oldham,,96555,96555,"34,489",15365.20,15405.2
Sutton Coldfield,52.563,-1.822,United Kingdom,GB,Birmingham,,95107,95107,"17,947",13185.40,13230
Kettering,52.3931,-0.7229,United Kingdom,GB,Northamptonshire,,93475,56226,"53,821",9892.00,
Hastings,50.85,0.57,United Kingdom,GB,East Sussex,,92855,91053,"25,390",8286.60,
Hartlepool,54.69,-1.21,United Kingdom,GB,Hartlepool,,92000,88855,"38,837",15359.80,15446.1
Hove,50.8352,-0.1758,United Kingdom,GB,Brighton and Hove,,91900,91900,"159,397",9779.70,9809.8
Barnsley,53.5537,-1.4791,United Kingdom,GB,Barnsley,,91297,91297,"106,961",13373.20,13436.9
Southport,53.6475,-3.0053,United Kingdom,GB,Sefton,,90381,90381,"52,601",13389.30,13443
Birkenhead,53.393,-3.014,United Kingdom,GB,Wirral,,88818,88818,"32,469",11869.50,11906.8
Grimsby,53.5595,-0.068,United Kingdom,GB,North East Lincolnshire,,88243,88243,"67,721",12159.60,12218.6
Halifax,53.725,-1.863,United Kingdom,GB,Calderdale,,88134,88134,"13,443",11950.50,12022.4
Bromley,51.407,0.021,United Kingdom,GB,Bromley,,87889,87889,"73,693",10581.50,10616.3
Fulham,51.4828,-0.195,United Kingdom,GB,Hammersmith and Fulham,,87161,87161,"29,070",11549.30,11592.9
Nuneaton,52.523,-1.468,United Kingdom,GB,Warwickshire,,86552,86552,"85,269",9523.70,
Ealing,51.5175,-0.2988,United Kingdom,GB,Ealing,,85014,85014,"8,357",12892.70,12932.6
Stockton-on-Tees,54.57,-1.32,United Kingdom,GB,Stockton-on-Tees,,85000,82729,"23,227",13689.70,13742.9
Woolwich,51.488,0.063,United Kingdom,GB,Greenwich,,84959,84959,"19,455",10935.70,10966.9
Bracknell,51.416,-0.749,United Kingdom,GB,Bracknell Forest,,84469,77256,"13,318",9307.80,9344.8
Hayes,51.5127,-0.4211,United Kingdom,GB,Hillingdon,,83564,83564,"21,807",12058.40,12097.2
Edmonton,51.6154,-0.0708,United Kingdom,GB,Enfield,,82472,82472,"8,921",11427.90,11456.4
Scunthorpe,53.5809,-0.6502,United Kingdom,GB,North Lincolnshire,,82334,79977,"29,869",9281.70,9335.6
Redditch,52.3069,-1.9492,United Kingdom,GB,Worcestershire,,81919,81919,"6,090",8916.50,
Dudley,52.508,-2.089,United Kingdom,GB,Dudley,,79379,79379,624,12174.80,12235.3
Bury,53.593,-2.298,United Kingdom,GB,Bury,,78723,78723,"15,852",14209.20,14256.9
Brixton,51.463,-0.106,United Kingdom,GB,Lambeth,,78536,78536,"42,074",12068.20,12104.5
West Bromwich,52.519,-1.995,United Kingdom,GB,Sandwell,,77997,77997,"46,148",14524.30,14575.6
Paisley,55.8466,-4.4236,United Kingdom,GB,Renfrewshire,,77310,77220,"15,448",11952.20,12117.2
Chatham,51.37,0.52,United Kingdom,GB,Medway,,76792,76792,"66,051",12353.60,12395.1
Edgware,51.6185,-0.2729,United Kingdom,GB,Barnet,,76506,76506,"12,452",10773.20,10818.6
East Ham,51.5323,0.0554,United Kingdom,GB,Newham,,76186,76186,"19,378",12989.70,13020.7
Weston-super-Mare,51.346,-2.977,United Kingdom,GB,North Somerset,,76143,76143,"43,502",8543.70,8564.1
East Kilbride,55.7645,-4.1771,United Kingdom,GB,South Lanarkshire,,75390,75120,"16,034",11244.60,11364
South Shields,54.995,-1.43,United Kingdom,GB,South Tyneside,,75337,75337,"18,418",14428.40,14511.1
Newcastle under Lyme,53.0109,-2.2278,United Kingdom,GB,Staffordshire,,75082,75082,"53,906",10600.20,
Harrogate,53.9919,-1.5378,United Kingdom,GB,North Yorkshire,,75070,73576,"74,900",8686.00,
Ashford,51.1465,0.8676,United Kingdom,GB,Kent,,74204,67528,"32,286",10120.00,
Gravesend,51.4415,0.3685,United Kingdom,GB,Kent,,74000,66000,"46,925",10120.00,
Burnley,53.789,-2.248,United Kingdom,GB,Lancashire,,73021,73021,"94,058",12990.00,
Burton upon Trent,52.8019,-1.6367,United Kingdom,GB,Staffordshire,,72299,72299,"36,512",10600.20,
Crewe,53.099,-2.44,United Kingdom,GB,Cheshire East,,71722,71722,238,9307.20,9359.7
Gosport,50.7948,-1.1243,United Kingdom,GB,Hampshire,,71529,71529,"6,284",7789.10,
Lowestoft,52.48,1.75,United Kingdom,GB,Suffolk,,71010,70945,"23,801",6266.70,
Rugby,52.37,-1.26,United Kingdom,GB,Warwickshire,,70628,70627,"23,188",9523.70,
Uxbridge,51.5404,-0.4778,United Kingdom,GB,Hillingdon,,70560,70560,"23,203",12058.40,12097.2
Inverness,57.4781,-4.2233,United Kingdom,GB,Highland,Scotland,70000,47290,"7,342",4607.30,4728.8
Southall,51.5121,-0.3779,United Kingdom,GB,Ealing,,69857,69857,"41,870",12892.70,12932.6
Maidenhead,51.5217,-0.7177,United Kingdom,GB,Windsor and Maidenhead,,69309,63580,"18,065",8967.90,9006.9
Wimbledon,51.422,-0.208,United Kingdom,GB,Merton,,68187,68187,"28,009",11250.50,11281
Walsall,52.58,-1.98,United Kingdom,GB,Walsall,,67594,67594,"17,560",12777.10,12822.1
Tynemouth,55.017,-1.423,United Kingdom,GB,North Tyneside,,67519,67519,"33,190",11864.70,11938
Washington,54.9,-1.52,United Kingdom,GB,Sunderland,,67085,67085,"33,603",13952.30,14015.7
Loughborough,52.7705,-1.2046,United Kingdom,GB,Leicestershire,,66611,59932,"2,926",10530.00,
Chingford,51.631,0.016,United Kingdom,GB,Waltham Forest,,66211,66211,"39,464",12295.40,12327.2
Thornton Heath,51.4002,-0.1086,United Kingdom,GB,Croydon,,65812,65812,"47,791",11490.00,11525.5
Finchley,51.599,-0.187,United Kingdom,GB,Barnet,,65812,65812,"6,449",10773.20,10818.6
Wrecsam,53.046,-2.993,United Kingdom,GB,Wrexham,,65692,61603,"36,941",11698.20,11773.9
Torquay,50.47,-3.53,United Kingdom,GB,Torbay,,65245,65245,"70,520",8219.20,8262.5
Farnborough,51.29,-0.75,United Kingdom,GB,Hampshire,,65034,65034,569,7789.10,
Kensington,51.5,-0.19,United Kingdom,GB,Kensington and Chelsea,,64681,64681,"24,996",9086.90,9117.5
Waterlooville,50.88,-1.03,United Kingdom,GB,Hampshire,,64350,64350,"20,166",7789.10,
Hornchurch,51.5565,0.2128,United Kingdom,GB,Havering,,63583,63583,"25,847",13370.40,13398.8
Mitcham,51.4009,-0.1517,United Kingdom,GB,Merton,,63393,63393,"38,283",11250.50,11281
Feltham,51.4496,-0.4089,United Kingdom,GB,Hounslow,,63368,63368,"8,898",12531.70,12575.5
Stourbridge,52.4575,-2.1479,United Kingdom,GB,Dudley,,63298,63298,"28,782",12174.80,12235.3
Rochester,51.375,0.5,United Kingdom,GB,Medway,,62982,62982,"36,075",12353.60,12395.1
Dewsbury,53.691,-1.633,United Kingdom,GB,Kirklees,,62945,62945,"21,806",12196.30,12249.3
Woking,51.3162,-0.561,United Kingdom,GB,Surrey,,62796,62796,"25,589",9069.00,
Rhondda,51.6159,-3.4175,United Kingdom,GB,Rhondda Cynon Taff,,62545,62545,"20,701",,
Sittingbourne,51.34,0.74,United Kingdom,GB,Kent,,62500,62500,"34,941",10120.00,
Acton,51.5135,-0.2707,United Kingdom,GB,Ealing,,62480,62480,"25,521",12892.70,12932.6
Twickenham,51.449,-0.337,United Kingdom,GB,Richmond upon Thames,,62148,62148,"93,618",8862.40,8894.7
Runcorn,53.341,-2.729,United Kingdom,GB,Halton,,61789,61789,"6,987",13390.20,13450.3
Scarborough,54.2773,-0.4017,United Kingdom,GB,North Yorkshire,,61749,61749,"35,781",8686.00,
Wandsworth,51.455,-0.192,United Kingdom,GB,Wandsworth,,61594,61594,"27,026",11055.50,11086.5
Widnes,53.363,-2.728,United Kingdom,GB,Halton,,61464,61464,"31,264",13390.20,13450.3
Margate,51.385,1.3838,United Kingdom,GB,Kent,,61223,61223,"47,705",10120.00,
Bangor,54.66,-5.67,United Kingdom,GB,Ards and North Down,,61011,61011,"38,766",7179.60,7239.5
Morecambe,54.073,-2.87,United Kingdom,GB,Lancashire,,60768,34768,"108,816",12990.00,
Taunton,51.019,-3.1,United Kingdom,GB,Somerset,,60479,60479,"23,054",6789.60,
Wallasey,53.4158,-3.0233,United Kingdom,GB,Wirral,,60284,60284,"25,304",11869.50,11906.8
Royal Tunbridge Wells,51.132,0.263,United Kingdom,GB,Kent,,59947,57772,"20,170",10120.00,
Barking,51.54,0.08,United Kingdom,GB,Barking and Dagenham,,59068,59068,"30,666",13837.50,13866.4
Aylesbury,51.8168,-0.8124,United Kingdom,GB,Buckinghamshire,,58740,58740,"18,342",9111.80,
Ruislip,51.576,-0.433,United Kingdom,GB,Hillingdon,,58217,58217,"22,992",12058.40,12097.2
Halesowen,52.4502,-2.0509,United Kingdom,GB,Dudley,,58135,58135,"11,196",12174.80,12235.3
Streatham,51.4279,-0.1235,United Kingdom,GB,Lambeth,,58055,58055,"8,743",12068.20,12104.5
Livingston,55.8834,-3.5157,United Kingdom,GB,West Lothian,,57030,57030,"40,735",9027.90,9148.1
Clacton-on-Sea,51.7918,1.1457,United Kingdom,GB,Essex,,56874,50548,"28,989",10744.20,
Barrow in Furness,54.1108,-3.2261,United Kingdom,GB,Cumbria,,56745,56745,"10,648",9575.00,
Ellesmere Port,53.279,-2.897,United Kingdom,GB,Cheshire West and Chester,,55715,55715,"36,634",10519.70,10577.8
Kidderminster,52.3885,-2.249,United Kingdom,GB,Worcestershire,,55530,55530,"34,051",8916.50,
Canterbury,51.28,1.08,United Kingdom,GB,Kent,,55240,54880,"36,454",10120.00,
Corby,52.4914,-0.6965,United Kingdom,GB,Northamptonshire,,54927,54927,"27,848",9892.00,
Brentwood,51.6204,0.305,United Kingdom,GB,Essex,,54885,52586,"55,598",10744.20,
Hamilton,55.777,-4.039,United Kingdom,GB,South Lanarkshire,,54230,54080,"11,416",11244.60,11364
Dunfermline,56.0719,-3.4393,United Kingdom,GB,Fife,,54050,53100,"10,179",7498.70,7629.7
Braintree,51.878,0.55,United Kingdom,GB,Essex,,53477,53477,"16,595",10744.20,
Hendon,51.5837,-0.2252,United Kingdom,GB,Barnet,,52972,52972,"22,212",10773.20,10818.6
Altrincham,53.3838,-2.3547,United Kingdom,GB,Trafford,,52419,52419,"47,389",12201.80,12254
Lancaster,54.047,-2.801,United Kingdom,GB,Lancashire,,52234,52234,"34,152",12990.00,
Barri,51.405,-3.27,United Kingdom,GB,"Vale of Glamorgan, The",,51502,51502,"13,566",,
Macclesfield,53.2581,-2.1274,United Kingdom,GB,Cheshire East,,51482,51482,"38,497",9307.20,9359.7
Bootle,53.4457,-2.9891,United Kingdom,GB,Sefton,,51394,51394,"14,052",13389.30,13443
Stratford,51.5423,-0.0026,United Kingdom,GB,Newham,,51387,51387,"35,195",12989.70,13020.7
Horsham,51.062,-0.325,United Kingdom,GB,West Sussex,,50934,50934,"53,327",8134.30,
Cumbernauld,55.945,-3.994,United Kingdom,GB,North Lanarkshire,,50430,50430,"15,916",12751.90,12912.3
Rowley Regis,52.48,-2.06,United Kingdom,GB,Sandwell,,50257,50257,"20,821",14524.30,14575.6
Kirkcaldy,56.1107,-3.1674,United Kingdom,GB,Fife,,50180,50010,,7498.70,7629.7
Crosby,53.4872,-3.0343,United Kingdom,GB,Sefton,,50044,50044,,13389.30,13443
Leith,55.98,-3.17,United Kingdom,GB,"Edinburgh, City of",,50030,50030,,,
Royal Leamington Spa,52.292,-1.537,United Kingdom,GB,Warwickshire,,49662,49662,,9523.70,
Llanelli,51.684,-4.163,United Kingdom,GB,Carmarthenshire,,49591,37050,,7994.30,8090.6
Batley,53.716,-1.627,United Kingdom,GB,Kirklees,,49448,49448,,12196.30,12249.3
Pen-y-Bont ar Ogwr,51.5072,-3.5784,United Kingdom,GB,Bridgend,,49404,49404,,11201.10,11263.5
Wellingborough,52.2939,-0.6964,United Kingdom,GB,Northamptonshire,,49128,49128,,9892.00,
Sutton in Ashfield,53.125,-1.261,United Kingdom,GB,Nottinghamshire,,49023,49023,,11286.40,
Paignton,50.4353,-3.5625,United Kingdom,GB,Devon,,49021,49021,,6363.60,
Eltham,51.451,0.052,United Kingdom,GB,Greenwich,,48964,48964,,10935.70,10966.9
Cwmbran,51.653,-3.021,United Kingdom,GB,Torfaen,,48535,48535,,9219.50,9286.9
Christchurch,50.73,-1.78,United Kingdom,GB,Dorset,,48368,48368,,6074.10,6113.1
Morden,51.4015,-0.1949,United Kingdom,GB,Merton,,48233,48233,,11250.50,11281
Barnet,51.6444,-0.1997,United Kingdom,GB,Barnet,,47359,47359,,10773.20,10818.6
West Bridgford,52.932,-1.127,United Kingdom,GB,Nottinghamshire,,47109,47109,,11286.40,
Perth,56.397,-3.437,United Kingdom,GB,Perth and Kinross,Scotland,46960,46960,,6537.40,6606.5
Stretford,53.4466,-2.3086,United Kingdom,GB,Trafford,,46910,46910,,12201.80,12254
Banbury,52.061,-1.336,United Kingdom,GB,Oxfordshire,,46853,46853,,8227.10,
Beckenham,51.408,-0.022,United Kingdom,GB,Bromley,,46844,46844,,10581.50,10616.3
Greenford,51.5299,-0.3488,United Kingdom,GB,Ealing,,46787,46787,,12892.70,12932.6
Wokingham,51.41,-0.84,United Kingdom,GB,Wokingham,,46745,46745,,8078.40,8110.6
Folkestone,51.081,1.166,United Kingdom,GB,Kent,,46698,46698,,10120.00,
Welwyn Garden City,51.8062,-0.1932,United Kingdom,GB,Hertfordshire,,46619,46619,,10114.00,
Ayr,55.458,-4.629,United Kingdom,GB,South Ayrshire,,46490,46490,,7934.70,8048.9
Kilmarnock,55.6111,-4.4957,United Kingdom,GB,East Ayrshire,,46450,46450,,9672.70,9799.3
Havant,50.85,-0.98,United Kingdom,GB,Hampshire,,45826,45826,,7789.10,
Chippenham,51.4585,-2.1158,United Kingdom,GB,Wiltshire,,45620,45620,,6775.20,6811.4
Erith,51.48,0.1778,United Kingdom,GB,Bexley,,45345,45345,,12178.00,12206.1
Hinckley,52.5413,-1.3725,United Kingdom,GB,Leicestershire,,45249,45249,,10530.00,
Ashton,53.4897,-2.0952,United Kingdom,GB,Tameside,,45198,45198,,13502.30,13561.7
Winchester,51.0632,-1.308,United Kingdom,GB,Hampshire,,45184,35200,,7789.10,
Surbiton,51.394,-0.307,United Kingdom,GB,Kingston upon Thames,,45132,45132,,10018.30,10041.8
Yeovil,50.9452,-2.637,United Kingdom,GB,Somerset,,45000,45000,,6789.60,
Catford,51.4452,-0.0207,United Kingdom,GB,Lewisham,,44905,44905,,10634.80,10671.5
Grantham,52.918,-0.638,United Kingdom,GB,Lincolnshire,,44580,34592,,8837.00,
Morley,53.7492,-1.6023,United Kingdom,GB,Leeds,,44440,44440,,13390.40,13451.2
Cheshunt,51.702,-0.035,United Kingdom,GB,Hertfordshire,,44000,44000,,10114.00,
Coatbridge,55.8625,-4.0266,United Kingdom,GB,North Lanarkshire,,43920,43920,,12751.90,12912.3
Wallsend,54.991,-1.534,United Kingdom,GB,North Tyneside,,43826,43826,,11864.70,11938
Merthyr Tudful,51.743,-3.378,United Kingdom,GB,Merthyr Tydfil,,43820,43820,,13830.60,13951.4
